amount,description,invoice_id,vendor
1500,Office supplies purchase,INV001,Vendor A
2500,Software subscription,INV002,Vendor B
3200,Consulting services,INV003,Vendor C
4100,Hardware maintenance,INV004,Vendor D
500,Travel reimbursement,INV005,Vendor A
1800,Marketing services,INV006,Vendor F
2700,Training workshop,INV007,Vendor A
3600,Cloud services,INV008,Vendor B
4200,Office rent,INV009,Vendor I
600,Catering services,INV010,Vendor B
1300,Stationery purchase,INV011,Vendor B
2400,Legal services,INV012,Vendor A
3100,Maintenance contract,INV013,Vendor M
4000,Insurance premium,INV014,Vendor N
700,Internet services,INV015,Vendor B
1600,Conference fees,INV016,Vendor B
2600,Printer cartridges,INV017,Vendor Q
3500,Team building event,INV018,Vendor B
4300,Cleaning services,INV019,Vendor S
800,IT support,INV020,Vendor T
5600,Software subscription,INV019,Vendor B
3555,Software subscription,INV019,Vendor A
2345,Software subscription,INV019,Vendor A
